4.65456406,0
6.31804271,0.000395523
6.74,0.000395523
7.395,0.00075315
8.12,0.00075315
8.915,0.00075315
9.785,0.001095527
10.735,0.001460713
11.78,0.001846907
12.93,0.00227018
14.19,0.00270793
15.575,0.003660313
17.095,0.004161823
18.76,0.00578755
20.585,0.00692389
22.59,0.009356113
24.795,0.0118755
27.215,0.014516757
29.87,0.01876939
32.78,0.024055513
35.975,0.030930197
39.485,0.040329887
43.335,0.053124153
47.56,0.07045154
52.195,0.097643037
57.285,0.132420937
62.87,0.18477762
69,0.25425111
75.73,0.352510017
83.11,0.49301928
91.21,0.695615627
100.105,0.991648807
109.87,1.424244617
120.585,2.025186897
132.34,2.823171717
145.24,3.80921133
159.4,4.969045833
174.94,6.281317707
191.995,7.749526777
210.715,9.36255779
231.26,11.08409002
253.81,12.99322369
278.56,15.02905293
305.72,17.27182853
335.525,19.52741074
368.235,21.93065237
404.135,24.3616937
443.54,26.64960618
486.785,29.05639573
534.245,31.30034398
586.335,33.90632437
643.505,36.59058995
706.245,38.959883
775.1,41.59094471
850.675,44.98204956
933.615,49.07420471
1024.64,53.25598796
1124.54,57.8938009
1234.18,63.81403274
1354.51,70.73034933
1486.575,77.55002767
1631.515,85.21581125
1790.585,93.10441739
1965.165,96.38813643
2156.765,100
